model,MAE,RMSE,SMAPE,bias
xgboost,5.137751464406749,9.815732672335482,85.23939835284949,
xgb_bias_corrected,5.009518334134168,9.385455989769133,84.61637785115089,-0.0245560979763463
xgb_log_target,4.456754729425419,10.020020117586087,73.41767374814945,
xgb_log_target_bias,5.542380281577079,10.316114011786787,90.62737106142087,2.0545051205246847
